Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:59,2021-02-24 14:13:59,0.724s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:13:59,2021-02-24 14:14:00,0.692s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:14:00,2021-02-24 14:14:01,0.736s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:14:01,2021-02-24 14:14:01,0.674s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/svg__vc-svg-icon""))",Chrome 88.0.4324.182,,,2021-02-24 14:14:01,2021-02-24 14:14:02,0.669s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/span_1""))",Chrome 88.0.4324.182,,,2021-02-24 14:14:02,2021-02-24 14:14:05,2.993s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/div__arrow-down""))",Chrome 88.0.4324.182,,,2021-02-24 14:14:05,2021-02-24 14:14:08,3.033s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/li_0600""))",Chrome 88.0.4324.182,,,2021-02-24 14:14:08,2021-02-24 14:14:11,3.290s,PASSED
"setText(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/input____BVID__185""), ""to"")",Chrome 88.0.4324.182,,,2021-02-24 14:14:11,2021-02-24 14:14:18,6.379s,PASSED
delay(2),Chrome 88.0.4324.182,,,2021-02-24 14:14:18,2021-02-24 14:14:20,2.003s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/div_Town in Town Village""))",Chrome 88.0.4324.182,,,2021-02-24 14:14:20,2021-02-24 14:14:23,3.021s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/div__arrow-down_1""))",Chrome 88.0.4324.182,,,2021-02-24 14:14:23,2021-02-24 14:14:26,3.123s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/li_ 1""))",Chrome 88.0.4324.182,,,2021-02-24 14:14:26,2021-02-24 14:14:29,3.168s,PASSED
"click(findTestObject(""Object Repository/P_USE/30/Page_Bluuu/div__arrow-down_1_2""))",Chrome 88.0.4324.182,,,2021-02-24 14:14:29,2021-02-24 14:14:32,2.995s,PASSED
